"Model","rmse","mae","sens","spec","ppv","rho","rho_lo","rho_hi","perc_agree_affect","rho_ci"
"Baseline",1.60238075918261,0.0597985530456944,1,0.073520876059281,0.073520876059281,0.254029079300272,0.245198116806125,0.262817889419702,94.6254836617387,"0.25 [0.25, 0.26]"
"Disaggregation - without field",3.90462318833721,0.0870124024686787,1,0.0424960858868262,0.0424960858868262,0.233324172440314,0.224421580599657,0.242187821252802,94.6299568338888,"0.23 [0.22, 0.24]"
"Disaggregation - Full",3.3920564700075,0.0830503210861522,1,0.0424960858868262,0.0424960858868262,0.240731690145174,0.231853947504366,0.249569334189823,94.7082373465143,"0.24 [0.23, 0.25]"
"Village-level random forest",1.15319063982507,0.0959642561622018,0.976315789473684,0.0723422509944622,0.0723422509944622,0.191339436052209,0.182312059222027,0.2003345575658,93.9925298025095,"0.19 [0.18, 0.2]"
