"rho","rho_lo","rho_hi","rmse","mae","perc_agree_affect","sens","spec","ppv","rho_ci","Model","group"
0.210393398536492,0.198582075486514,0.222143617634408,2.10766434811754,0.103457536092019,90.7015439383973,1,0.073520876059281,0.073520876059281,"0.21 [0.2, 0.22]","Baseline","Block non-zero"
0.193941965353985,0.182070259865967,0.205757137400586,5.13577967799189,0.148431228511435,90.751847695701,1,0.0735237210742203,0.0735237210742203,"0.19 [0.18, 0.21]","Disaggregation - without field","Block non-zero"
0.208059819973516,0.1962396011177,0.219819579772904,4.46160069952745,0.142003916400893,90.8834113686491,1,0.0735237210742203,0.0735237210742203,"0.21 [0.2, 0.22]","Disaggregation - Full","Block non-zero"
0.121831572265866,0.109757905019093,0.133869292086477,1.43274031328921,0.155060004389211,89.7264249506636,0.976315789473684,0.0858597546864152,0.0858597546864152,"0.12 [0.11, 0.13]","Village-level random forest","Block non-zero"
NA,NA,NA,0,0,100,NA,NA,NA,"NA [NA, NA]","Baseline","Block zero"
NA,NA,NA,0.0375446204957341,0.00288866272822137,99.9417002331991,NA,0,0,"NA [NA, NA]","Disaggregation - without field","Block zero"
NA,NA,NA,0.0318949027606625,0.00230314259776692,99.9470002119992,NA,0,0,"NA [NA, NA]","Disaggregation - Full","Block zero"
NA,NA,NA,0.582852409806412,0.0150223745939071,99.8357006571974,NA,0,0,"NA [NA, NA]","Village-level random forest","Block zero"
